ID,Degree pursuing,CS UG,Coding ability,Work experience,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,First name,Last name
1,1,0,3,0,57,63,33,54,61,60,56,58,19,55,First,Last
2,1,1,4,1,65,9,58,62,64,22,56,19,52,51,First,Last
3,1,0,2,2,56,1,65,15,37,52,58,55,54,63,First,Last
4,1,1,3,0,25,64,62,10,59,53,42,57,23,6,First,Last
5,1,1,1,0,62,21,37,39,49,34,51,54,52,63,First,Last
6,1,1,4,0,20,62,7,63,16,39,8,65,58,49,First,Last
7,1,1,2,1,63,2,5,17,40,13,33,65,51,56,First,Last
8,1,0,3,2,1,65,52,41,63,64,61,48,34,23,First,Last
9,1,1,3,0,55,24,65,37,63,4,21,47,57,56,First,Last
10,1,0,3,0,64,26,48,13,2,47,42,52,45,63,First,Last
11,1,1,2,0,65,60,30,42,35,54,41,64,55,63,First,Last
12,1,1,2,3,4,3,20,64,24,36,50,13,57,52,First,Last
13,1,1,2,4,55,62,64,18,58,40,48,47,22,51,First,Last
14,1,0,4,0,56,29,62,39,65,11,6,54,53,49,First,Last
15,1,1,3,1,63,64,27,65,37,35,42,46,56,51,First,Last
16,1,0,4,1,45,14,65,55,42,61,43,5,64,62,First,Last
17,1,1,2,0,54,7,9,31,51,27,23,3,36,65,First,Last
18,1,0,2,0,65,64,46,2,19,60,47,53,57,50,First,Last
19,1,0,1,0,64,37,24,10,65,46,42,34,48,61,First,Last
20,1,1,2,0,62,32,29,41,40,35,26,45,54,53,First,Last
21,1,1,2,0,45,64,32,33,59,8,46,7,52,56,First,Last
22,1,1,3,1,61,62,64,34,36,31,21,60,55,65,First,Last
23,1,0,2,1,62,20,22,65,43,25,51,27,28,9,First,Last
24,1,1,2,0,64,65,43,27,37,47,38,31,56,44,First,Last
25,1,1,3,0,56,29,62,59,11,41,36,19,37,49,First,Last
26,1,1,4,0,30,63,6,48,46,38,64,47,55,58,First,Last
27,1,1,2,3,60,5,40,14,38,48,15,50,23,53,First,Last
28,1,1,3,1,23,63,12,42,33,65,61,35,64,44,First,Last
29,1,1,2,0,65,4,62,32,20,45,44,60,39,58,First,Last
30,1,1,1,0,63,64,65,41,29,34,43,60,36,47,First,Last
31,1,1,2,0,31,63,38,40,58,65,10,48,56,25,First,Last
32,1,0,2,0,65,28,62,43,46,37,63,38,56,49,First,Last
33,1,1,4,0,22,63,24,18,55,51,46,54,34,45,First,Last
34,1,1,3,0,4,30,62,52,45,6,61,33,58,59,First,Last
35,1,1,2,0,61,38,31,35,27,63,43,64,50,59,First,Last
36,0,0,0,4,64,9,40,5,2,35,42,61,28,53,First,Last
37,0,0,1,3,25,63,58,50,40,64,23,36,59,1,First,Last
38,0,0,2,4,61,8,62,65,32,43,50,60,35,46,First,Last
39,0,1,3,3,19,57,62,42,49,39,60,3,2,51,First,Last
40,0,0,2,2,60,44,62,65,26,41,38,55,52,47,First,Last
41,0,1,0,2,63,59,24,21,58,12,61,46,32,62,First,Last
42,0,0,0,4,57,63,41,62,38,61,34,55,49,14,First,Last
43,0,0,1,0,54,13,40,25,52,47,43,28,57,44,First,Last
44,0,1,0,0,45,62,46,64,22,42,60,56,58,54,First,Last
45,0,0,0,1,55,65,33,30,63,19,10,44,59,64,First,Last
46,0,1,2,2,3,48,44,60,43,63,65,61,50,53,First,Last
47,0,0,4,3,65,62,30,40,61,21,41,54,36,53,First,Last
48,0,1,3,3,61,45,58,62,31,48,40,64,47,9,First,Last
49,0,0,1,4,64,62,65,29,42,44,33,46,53,58,First,Last
50,0,0,2,3,30,25,27,53,1,28,37,45,55,32,First,Last
51,0,0,2,4,60,63,37,49,44,39,61,62,52,59,First,Last
52,0,1,1,3,25,59,65,20,37,41,32,38,13,45,First,Last
53,0,1,0,2,65,11,30,62,51,36,8,61,57,31,First,Last
54,0,0,0,2,60,63,21,44,58,43,41,64,50,51,First,Last
55,0,1,0,3,61,59,50,39,45,38,52,34,47,29,First,Last
56,0,1,0,2,23,62,39,58,27,28,17,60,52,24,First,Last
57,0,1,0,0,61,26,55,21,52,41,56,49,22,48,First,Last
58,0,0,1,1,60,65,39,42,43,44,41,61,59,58,First,Last
59,0,0,0,2,65,22,26,62,7,47,12,63,45,53,First,Last
60,0,0,0,3,32,20,65,24,63,37,53,39,61,50,First,Last
61,0,0,2,0,61,37,46,44,49,41,54,51,58,57,First,Last
62,0,1,3,0,31,38,63,23,35,42,40,33,59,47,First,Last
63,0,1,3,2,54,21,29,65,18,16,64,55,62,57,First,Last
64,0,0,2,3,63,60,64,26,44,62,28,46,53,48,First,Last
65,0,1,0,4,20,57,30,43,61,53,50,56,23,12,First,Last
66,0,0,1,0,60,65,37,15,20,43,38,22,58,56,First,Last
67,0,1,1,4,64,39,26,27,37,60,54,61,59,50,First,Last
68,0,0,2,4,24,63,25,65,44,39,48,57,52,59,First,Last
69,0,0,1,3,61,229,18,58,63,19,54,53,11,49,First,Last
70,0,0,0,2,65,40,52,60,53,64,49,28,50,58,First,Last
71,0,0,0,4,19,38,65,62,26,60,15,55,54,48,First,Last
72,0,1,0,3,64,16,24,39,55,54,56,57,53,51,First,Last
