Student ID,What degree are you pursuing?,business,Coding,Work Experience,1,2,3,4,5,6,7,8,9,10,First Name,Last Name
1,0,2,2,0,20,21,22,36,42,45,2,15,32,3,Elise,Colbert
2,0,3,1,2,55,20,21,22,54,3,49,4,5,23,Tasha,Kewalramani
3,1,2,3,2,3,52,16,44,30,23,57,59,39,22,Mikael,Stepanek
4,1,1,4,4,11,55,46,27,60,38,31,26,58,36,Finlay,Jedinak
5,1,3,2,3,21,3,26,37,11,46,33,57,19,6,Baldovino,Boveri
6,1,2,2,1,40,53,43,31,54,18,50,29,12,57,Felinus,Buckley
7,0,4,0,4,21,22,23,4,15,25,29,40,49,46,Victoria,Hoffmeister
8,2,0,2,0,2,16,28,43,51,52,48,47,59,34,J,j
9,1,0,3,3,16,21,37,58,62,15,23,2,38,44,Maria,Aling
10,1,4,4,4,48,53,7,21,5,41,12,38,36,25,Sandeep,Svoboda
11,2,1,3,1,52,43,2,16,51,59,48,42,36,28,Lady,Gaga
12,0,3,0,2,40,49,37,23,22,21,20,15,4,1,Kenneth,Wong
13,1,1,2,3,43,7,30,19,34,33,53,46,50,37,Abaddon,Henriques
14,0,3,2,3,20,24,23,22,4,49,40,15,12,8,Hanna,Ramsden
15,1,4,1,0,26,11,8,51,31,13,30,21,33,52,David,Royceston
16,0,1,2,1,49,40,4,45,29,23,20,25,15,12,Megan,Teeking
17,2,2,2,2,2,16,43,47,52,59,34,36,28,27,Health,Jam
18,0,4,1,4,49,4,40,25,29,20,23,22,45,59,Daniel,Wilbanks
19,0,3,0,3,23,10,22,21,49,4,40,45,59,15,Charles,Lok
20,1,3,2,4,20,21,22,15,2,13,18,19,23,25,Hans,Wojewodka
21,0,2,1,2,4,29,15,22,23,21,20,25,28,36,Louis,Ambrogio
22,3,2,3,2,5,9,22,33,37,40,49,41,25,23,Elton,John
23,3,1,3,2,44,33,3,1,12,5,25,40,43,2,Pearl,Jam
24,1,1,4,3,21,22,20,15,26,29,23,33,37,58,Kendall,Trujillo
25,0,4,1,4,36,43,59,28,17,25,23,20,4,49,Gregory,Pon
26,3,1,1,1,1,2,9,28,16,40,23,33,35,46,Student,Name
27,3,2,2,2,34,33,49,18,23,15,12,42,4,1,Testing,Test
28,1,1,1,2,13,14,15,20,22,21,4,6,1,3,Andre,Van Der Beek
29,0,4,2,4,25,28,59,42,36,49,4,23,15,12,Ryan,Gosling
30,1,1,2,4,12,13,21,14,22,23,20,33,37,38,Sean,Du
31,0,3,0,2,21,25,36,42,28,17,15,4,23,49,Orlando,Bloom
32,3,3,2,3,6,9,44,46,37,25,23,33,22,18,Leonardo,DiCaprio
33,3,2,3,2,2,10,19,24,20,4,33,35,41,44,Kristen,Bell
34,1,2,3,0,12,13,14,20,23,22,21,26,36,30,Ask,Bukowski
35,1,3,3,2,20,22,21,23,29,49,58,55,60,61,Vincent,Straub
36,3,1,3,1,40,37,33,12,46,49,19,18,15,4,Cindy,Lauper
37,3,2,2,2,49,40,33,18,15,4,6,9,7,12,Bruce,Springstein
38,1,1,2,1,13,14,3,20,21,22,33,15,49,2,Thor,Jonckheer
39,3,1,1,0,33,12,9,46,49,4,2,1,23,29,Taylor,Swift
40,0,4,1,3,49,4,2,1,29,23,21,25,15,12,Emma,Sahn
41,1,4,2,4,21,22,20,49,25,24,54,55,47,29,Armando,Nordskov
42,3,2,3,3,40,46,49,23,15,12,2,4,25,1,Joshua,Jackson
43,0,4,1,3,49,4,2,1,25,29,12,15,21,13,Draco,Malfoy
44,3,0,1,1,23,15,4,33,49,46,44,54,37,40,Katie ,Holmes
45,3,1,2,0,40,23,49,4,12,18,33,46,25,2,Michelle,Williams
46,0,3,3,2,29,15,12,4,25,24,23,22,10,21,Gregory,Pass
47,0,2,0,2,2,4,21,20,22,23,25,15,49,12,Donald,Trump
48,0,2,1,2,25,49,4,15,22,23,20,21,30,2,Harry,Potter
49,0,4,2,4,23,2,40,36,33,39,45,24,29,4,Hermione,Granger
